"","formulae","accuracy"
"665","dummy.living ~ rows_with_5 + horizontalness + left_diagonals",0.75
"689","dummy.living ~ cols_with_5 + neigh1 + verticalness",0.75
"775","dummy.living ~ cols_with_5 + nr_eyes + avg_pixel_weight",0.75
"806","dummy.living ~ neigh1 + right2tile + nr_regions",0.75
"847","dummy.living ~ neigh1 + right_diagonals + hollowness",0.75
"852","dummy.living ~ neigh1 + nr_eyes + hollowness",0.75
"854","dummy.living ~ neigh1 + hollowness + avg_pixel_weight",0.75
"862","dummy.living ~ neigh5 + left2tile + nr_regions",0.75
"918","dummy.living ~ neigh5 + nr_eyes + hollowness",0.75
"920","dummy.living ~ neigh5 + hollowness + avg_pixel_weight",0.75
"1054","dummy.living ~ verticalness + nr_eyes + hollowness",0.75
"1056","dummy.living ~ verticalness + hollowness + avg_pixel_weight",0.75
"1105","dummy.living ~ bottom2tile + hollowness + avg_pixel_weight",0.75
"1110","dummy.living ~ horizontalness + left_diagonals + avg_pixel_weight",0.75
"1137","dummy.living ~ nr_regions + nr_eyes + hollowness",0.75
"1139","dummy.living ~ nr_regions + hollowness + avg_pixel_weight",0.75
"1140","dummy.living ~ nr_eyes + hollowness + avg_pixel_weight",0.75
"83","dummy.living ~ nr_pix + neigh1 + right2tile",0.74375
"167","dummy.living ~ nr_pix + nr_regions + hollowness",0.74375
"182","dummy.living ~ height + width + horizontalness",0.74375
"585","dummy.living ~ rows_with_5 + cols_with_5 + verticalness",0.74375
"618","dummy.living ~ rows_with_5 + neigh5 + hollowness",0.74375
"678","dummy.living ~ rows_with_5 + right_diagonals + hollowness",0.74375
"740","dummy.living ~ cols_with_5 + verticalness + avg_pixel_weight",0.74375
"760","dummy.living ~ cols_with_5 + horizontalness + hollowness",0.74375
"804","dummy.living ~ neigh1 + right2tile + left_diagonals",0.74375
"942","dummy.living ~ left2tile + top2tile + left_diagonals",0.74375
"976","dummy.living ~ right2tile + verticalness + top2tile",0.74375
"994","dummy.living ~ right2tile + bottom2tile + left_diagonals",0.74375
"1009","dummy.living ~ right2tile + left_diagonals + hollowness",0.74375
"1077","dummy.living ~ top2tile + right_diagonals + hollowness",0.74375
"1136","dummy.living ~ right_diagonals + hollowness + avg_pixel_weight",0.74375
"4","dummy.living ~ nr_pix + height + cols_with_5",0.7375
"80","dummy.living ~ nr_pix + cols_with_5 + avg_pixel_weight",0.7375
"82","dummy.living ~ nr_pix + neigh1 + left2tile",0.7375
"84","dummy.living ~ nr_pix + neigh1 + verticalness",0.7375
"177","dummy.living ~ height + width + left2tile",0.7375
"178","dummy.living ~ height + width + right2tile",0.7375
"186","dummy.living ~ height + width + nr_eyes",0.7375
"289","dummy.living ~ height + top2tile + bottom2tile",0.7375
"379","dummy.living ~ width + neigh1 + nr_regions",0.7375
"402","dummy.living ~ width + left2tile + nr_regions",0.7375
"431","dummy.living ~ width + top2tile + hollowness",0.7375
"438","dummy.living ~ width + bottom2tile + hollowness",0.7375
"459","dummy.living ~ width + nr_eyes + avg_pixel_weight",0.7375
"518","dummy.living ~ span + left2tile + bottom2tile",0.7375
"577","dummy.living ~ span + nr_regions + avg_pixel_weight",0.7375
"591","dummy.living ~ rows_with_5 + cols_with_5 + nr_regions",0.7375
"739","dummy.living ~ cols_with_5 + verticalness + hollowness",0.7375
"836","dummy.living ~ neigh1 + horizontalness + nr_regions",0.7375
"907","dummy.living ~ neigh5 + left_diagonals + nr_regions",0.7375
"1134","dummy.living ~ right_diagonals + nr_eyes + hollowness",0.7375
"5","dummy.living ~ nr_pix + height + neigh1",0.73125
"16","dummy.living ~ nr_pix + height + nr_eyes",0.73125
"242","dummy.living ~ height + neigh1 + right_diagonals",0.73125
"248","dummy.living ~ height + neigh5 + right2tile",0.73125
"257","dummy.living ~ height + neigh5 + hollowness",0.73125
"301","dummy.living ~ height + bottom2tile + nr_eyes",0.73125
"316","dummy.living ~ height + right_diagonals + nr_eyes",0.73125
"323","dummy.living ~ height + nr_eyes + avg_pixel_weight",0.73125
"414","dummy.living ~ width + right2tile + hollowness",0.73125
"442","dummy.living ~ width + horizontalness + nr_regions",0.73125
"449","dummy.living ~ width + left_diagonals + hollowness",0.73125
"600","dummy.living ~ rows_with_5 + neigh1 + bottom2tile",0.73125
"607","dummy.living ~ rows_with_5 + neigh1 + avg_pixel_weight",0.73125
"794","dummy.living ~ neigh1 + left2tile + left_diagonals",0.73125
"872","dummy.living ~ neigh5 + right2tile + nr_regions",0.73125
"911","dummy.living ~ neigh5 + right_diagonals + nr_regions",0.73125
"924","dummy.living ~ left2tile + right2tile + horizontalness",0.73125
"962","dummy.living ~ left2tile + left_diagonals + nr_regions",0.73125
"968","dummy.living ~ left2tile + right_diagonals + hollowness",0.73125
"991","dummy.living ~ right2tile + top2tile + hollowness",0.73125
"1013","dummy.living ~ right2tile + right_diagonals + hollowness",0.73125
"1045","dummy.living ~ verticalness + left_diagonals + hollowness",0.73125
"1047","dummy.living ~ verticalness + right_diagonals + nr_regions",0.73125
"1098","dummy.living ~ bottom2tile + right_diagonals + hollowness",0.73125
"14","dummy.living ~ nr_pix + height + right_diagonals",0.725
"32","dummy.living ~ nr_pix + width + nr_regions",0.725
